Time(s),Total cars injected, Total cars arrived,Current cars in system,Exiting people,Total Sumo cars injected,Total Sumo cars arrived,Goal_highway people arrived,Goal_highway cars arrived,Goal_highway flow [veh./h]
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0
45,1,0,1,0,0,0,0,0,0
46,1,0,1,0,0,0,0,0,0
47,1,0,1,0,0,0,0,0,0
48,1,0,1,0,0,0,0,0,0
49,1,0,1,0,0,0,0,0,0
50,1,0,1,0,0,0,0,0,0
51,1,0,1,0,0,0,0,0,0
52,1,0,1,0,0,0,0,0,0
53,1,0,1,0,0,0,0,0,0
54,1,0,1,0,0,0,0,0,0
55,1,0,1,0,0,0,0,0,0
56,1,0,1,0,0,0,0,0,0
57,1,0,1,0,0,0,0,0,0
58,1,0,1,0,0,0,0,0,0
59,1,0,1,0,0,0,0,0,0
60,1,0,1,0,0,0,0,0,0
61,1,0,1,0,0,0,0,0,0
62,1,0,1,0,0,0,0,0,0
63,1,0,1,0,0,0,0,0,0
64,1,0,1,0,0,0,0,0,0
65,1,0,1,0,0,0,0,0,0
66,1,0,1,0,0,0,0,0,0
67,2,0,2,0,0,0,0,0,0
68,2,0,2,0,0,0,0,0,0
69,2,0,2,0,0,0,0,0,0
